Time	[IRS1]	[IRS1a]	[IRS1pS636_639]	[Akt]	[AktpT308]	[TSC2]	[TSC2pT1462]	[PRAS40]	[PRAS40pT246]	[S6K]	[S6KpT389]	[FourEBP1]	[FourEBP1pT37_46]	[_PI3K]	[pPI3K]	[pmTORC1]	[_mTORC1]	Values[Insulin]	Values[AA]	Values[_mTORC1cyt]	Values[mTORC1lys]	Values[_kIRS1In]	Values[_kIRS1Out]	Values[_kIRS1Out2]	Values[_kIRS1ActBasal]	Values[_kIRS1Act_km]	Values[_kIRS1Act_kcat]	Values[kIRS1Inact]	Values[_kIRS1Phos_km]	Values[_kIRS1Phos_kcat]	Values[_kPI3KPhos_km]	Values[_kPI3KPhos_kcat]	Values[kPI3KDephos]	Values[_kAktPhos_km]	Values[_kAktPhos_kcat]	Values[kAktDephos]	Values[_kAktIn]	Values[_kAktOut]	Values[_kTSC2Phos_km]	Values[_kTSC2Phos_kcat]	Values[_kTSC2Dephos]	Values[_kTSCIn]	Values[_kTSCOut]	Values[_kmTORC1PhosBasal]	Values[_kmTORC1Phos_km]	Values[_kmTORC1Phos_vmax]	Values[_kmTORC1Dephos_km]	Values[_kmTORC1Dephos_kcat]	Values[_kPras40In]	Values[_kPras40Out]	Values[_kPras40Phos_km]	Values[_kPras40Phos_kcat]	Values[kPras40Dephos]	Values[_kFourEBP1In]	Values[_kFourEBP1Out]	Values[_kFourEBP1Phos_km]	Values[_kFourEBP1Phos_kcat]	Values[kFourEBP1Dephos]	Values[_kS6KIn]	Values[_kS6KOut]	Values[_kS6KPhos_km]	Values[_kS6KPhos_kcat]	Values[kS6KDephos]	Values[_IRS1pS636_639_sf]	Values[_AktpT308_sf]	Values[_TSC2pT1462_sf]	Values[_PRAS40pT246_sf]	Values[_FourEBP1pT37_46_sf]	Values[_S6KpT389_sf]	Values[IRS1pS636_639_obs]	Values[AktpT308_obs]	Values[TSC2pT1462_obs]	Values[PRAS40pT246_obs]	Values[FourEBP1pT37_46_obs]	Values[S6KpT389_obs]	Values[mTORC1]	Values[TSC]
0	10	0.1	0.1	10	0.1	0.1	10	10	0.1	10	0.1	10	0.1	10	0.1	0.1	1	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.1	0.1	10	0.1	0.1	0.1	1	1
0.01	9.80442	0.206433	0.0991368	9.90964	0.100809	0.207828	9.90063	9.91054	0.0999128	9.91048	0.0999726	9.91048	0.0999726	9.99961	0.100394	0.113963	0.986037	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0991368	0.100809	9.90063	0.0999128	0.0999726	0.0999726	1	1
0.02	9.61376	0.309798	0.0983543	9.82018	0.101624	0.313524	9.80233	9.82195	0.0998331	9.82172	0.10007	9.82172	0.10007	9.99827	0.101733	0.127677	0.972323	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0983543	0.101624	9.80233	0.0998331	0.10007	0.10007	1	1
0.03	9.4279	0.410184	0.0976393	9.73159	0.102452	0.417133	9.70506	9.73425	0.0997608	9.73372	0.100288	9.73372	0.100288	9.99602	0.10398	0.141148	0.958852	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0976393	0.102452	9.70506	0.0997608	0.100288	0.100288	1	1
0.04	9.24672	0.507679	0.096982	9.64387	0.103299	0.518693	9.60882	9.6474	0.0996961	9.64649	0.100623	9.64649	0.100623	9.9929	0.107099	0.154383	0.945617	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.096982	0.103299	9.60882	0.0996961	0.100623	0.100623	1	1
0.05	9.0701	0.602362	0.0963751	9.55699	0.104173	0.618242	9.51359	9.56142	0.0996389	9.56001	0.101072	9.56001	0.101072	9.98894	0.111057	0.167388	0.932612	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0963751	0.104173	9.51359	0.0996389	0.101072	0.101072	1	1
0.06	8.89792	0.694313	0.0958127	9.47095	0.10508	0.715815	9.41934	9.47628	0.0995896	9.47428	0.101631	9.47428	0.101631	9.98418	0.115818	0.180169	0.919831	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0958127	0.10508	9.41934	0.0995896	0.101631	0.101631	1	1
0.07	8.73005	0.783605	0.0952905	9.38572	0.106027	0.811446	9.32607	9.39198	0.0995482	9.38929	0.102297	9.38929	0.102297	9.97865	0.121352	0.192733	0.907267	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0952905	0.106027	9.32607	0.0995482	0.102297	0.102297	1	1
0.08	8.5664	0.870311	0.0948047	9.30129	0.107018	0.905168	9.23377	9.30851	0.0995152	9.30505	0.103068	9.30505	0.103068	9.97237	0.127625	0.205084	0.894916	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0948047	0.107018	9.23377	0.0995152	0.103068	0.103068	1	1
0.09	8.40686	0.9545	0.0943527	9.21766	0.10806	0.997012	9.14241	9.22586	0.0994908	9.22155	0.103939	9.22155	0.103939	9.96539	0.134609	0.217229	0.882771	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0943527	0.10806	9.14241	0.0994908	0.103939	0.103939	1	1
0.1	8.25131	1.03624	0.0939322	9.1348	0.109158	1.08701	9.05199	9.14403	0.0994754	9.13878	0.104907	9.13878	0.104907	9.95773	0.142272	0.229172	0.870828	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0939322	0.109158	9.05199	0.0994754	0.104907	0.104907	1	1
0.11	8.09966	1.11559	0.0935413	9.0527	0.110316	1.17518	8.9625	9.063	0.0994693	9.05674	0.105971	9.05674	0.105971	9.94941	0.150587	0.240918	0.859082	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0935413	0.110316	8.9625	0.0994693	0.105971	0.105971	1	1
